job_title,company,description_text,source,date_collected,track
Frontend Software Engineer,toogoodtogo,"At Too Good To Go, we have an ambitious goal: to inspire and empower everyone to fight food waste together. 
 40% of all food produced in the world is wasted. And that has a huge impact on the health of our planet, with 10% of greenhouse gas emissions coming from food waste. 
 We’re more than an app: we are a certified B Corporation with a mission to empower everyone to take action against food waste, so alongside our marketplace app, we create educational tools, explore new business solutions - such as our Retail Technologies offering, and influence legislation to help reduce food waste. 
 We’re growing fast: Our community of 127 million registered users and 253,000 active partners across 20 countries, have together already prevented 489+ million meals from going to waste - avoiding over 1.322.000 tonnes of CO2e! 
  The Role  
 We are building a brand-new engineering hub in London, and we are looking for  foundational Frontend Software Engineers  to help us kick it off. This is a unique opportunity: you will be joining a completely new team, building a new hub from scratch, and working remotely from the rest of our global Tech organisation. 
 As an integral part of this new product team, you will help define, build, and deliver our product features. You will work towards specific outcomes with the freedom and responsibility to figure out the best way to achieve them together with your team. Your mission will be to help refine, design, implement, deliver, and maintain an international top-class product, ensuring quality, maintainability, and sustainability. 
  The Tech Stack  
 We have created a single-page React application localized into multiple languages with TypeScript, RTK Query, MUI, and react-router. Developers typically run the SPA locally with Vite or Webpack DevServer (including hot module replacement) against endpoints on test servers. 
  Responsibilities  
 
 Build and evolve our frontend applications and user-facing infrastructure to stay ahead of our growth curve. 
 Develop exciting new features for our customers, partner businesses, and internal systems to improve usability and operational efficiency. 
 Implement responsive, reliable, and intuitive visual elements and interactive workflows across web applications. 
 Actively participate in your team’s agile development processes with a continuous improvement mindset. 
 Strive to deliver international top-class products with maximum quality, performance, maintainability, and accessibility. 
 Take on additional tasks outside your current boundaries with help from your team to continue to grow and expand your skills. 
 
  The Ideal Candidate  
 
 Strong experience in modern frontend web development. 
 Proven production experience with JavaScript, TypeScript, DOM manipulation, HTML, and CSS/MUI. 
 Deep understanding of React.js, its core principles (state, props, context, hooks), and modern architectural patterns. 
 Experience with state management solutions (e.g., Redux / RTK Query, React Context API) and client-side routing. 
 Experience with common frontend tooling, testing, and CI frameworks (e.g., Vite/Webpack, NPM, ESLint, Jest, Playwright). 
 Proven success in building scalable, responsive visual interfaces with strong cross-browser compatibility and user experience design sensibilities. 
 Familiarity with RESTful APIs, modern integration patterns, and code versioning tools like Git. 
 Enjoys actively participating in a cross-functional product team and takes pride in writing clean, high-quality code. 
 
  Our Values  
 
  We win together:  Food waste is a big beast to fight. We believe in a #oneteam. 
  We raise the bar:  We always push for more. We work smart, smash barriers and elevate one another. 
  We keep it simple:  Our ambitions are bold but our solutions are simple. 
  We build a legacy:  We’re proud of the change we’re driving. 
  We care:  We always look out for each other. Caring is also about the way we do business. We do the right thing. 
 
  What We Have To Offer  
 
 An opportunity to work in a global social-impact company and certified B Corporation! where you can see a real and tangible impact in your role. 
 To be an integral member of our defined product teams. We are eager for you to make an impact and contribute to the product scope and development; Your insights are valuable, and we are here to listen. 
 Work-life balance is important to us! Focus on the job to be done, not the hours spent, there is no need for overtime. On-call duty is not part of the job, but can be additionally agreed upon should you and your manager both wish it. We believe that happy environments create happy employees. 
 We trust in our employees and encourage an autonomous environment that provides several opportunities for employees to contribute, develop and take ownership of their work in a way that works for them. 
 To be part of an international company, with over 1,300+ colleagues across 20 countries that are on the same important mission. 
 An informal environment, working alongside 190+ passionate people within Tech &amp; Product. 
 We celebrate our differences and our successes and have a strong values-driven team culture. 
 We work in a hybrid set-up and value in office work weekly (2 days in office). 
 
  How to apply  
 
 We take recruitment very seriously, so please carefully read everything we have written above. 
 Please also check our website and international media in order to get a good overview of Too Good To Go. 
 Please submit your CV and Cover letter in English. 
 Please note that we only accept applications coming through our platform. No CV or Cover Letter will be accepted by email or LinkedIn direct messaging. 
 
 #LI-LA1    A Movement for Everyone   We want to inspire and empower everyone to fight food waste together. With that mission, it’s only natural that we want to build a diverse and inclusive team of highly capable individuals who are passionate about doing things in a better way. We strongly believe we all excel and are more creative when we’re allowed to be ourselves, and we’re committed to a culture where all of us belong.   We are an equal opportunity employer and all employment is decided on the basis of qualifications, merit and business need. If you need reasonable accommodation at any point in the application or interview process, please let us know.    Find more  English Speaking Jobs in United Kingdom  on Arbeitnow  Tech",arbeitnow_api,2026-09-02,Mobile Development
Software Engineer - Frontend (React / React Native),Fanduel,"The Position  
 We're looking for a Software Engineer (React Native / React ) to join our Sportsbook engineering team. You'll be working on foundational engineering, focusing on improving the underlying frameworks, tooling, and performance that enable FanDuel to deliver an exciting and innovative customer experience. 
 Working with our React Native Sportsbook application, you'll contribute to app performance improvements and help enhance our core codebase to improve quality, scalability, and developer experience. 
 We're looking for engineers who are collaborative, curious, and committed to developing their skills. The ideal candidate has practical experience with React Native and an interest in mobile performance, tooling, and best practices. Exposure to native Android or iOS development is a plus. As a member of this team, you will contribute to the foundations of our mobile platform, helping FanDuel engineers deliver features more effectively while maintaining platform quality and engineering best practices. 
 We are a growth company, so there are plenty of opportunities for you to learn &amp; grow with us. 
  Some of your responsibilities will include:  
 
 Contributing to the core React Native codebase that underpins our Sportsbook application 
 Working on app launch performance and broader performance improvements 
 Building and maintaining frameworks, tooling, and shared components to support feature teams 
 Collaborating with engineers across domains to solve cross-cutting technical challenges 
 Implementing pragmatic solutions that balance performance, maintainability, and scalability 
 Participate in code reviews, share knowledge, and contribute to continuous improvement initiatives 
 Joining our on-call rota, sharing out of hours support duties as part of our incident response process 
 
  What We're Looking For  
 
 2–3 years of experience building mobile applications 
 Strong practical experience with React Native OR React&nbsp; 
 Interest in performance optimization, tooling, and frameworks as well as app features 
 Native Android (Kotlin/Java) or iOS (Swift) experience is a plus 
 Familiarity with mobile app development best practices and testing approaches 
 Exposure to Agile development and collaborative team environments 
 Strong problem-solving skills with the ability to evaluate technical trade-offs with guidance   
 
  Additionally, our Engineers are able to:  
 
 Contribute to technical discussions and share ideas to improve platform quality and developer experience 
 Take ownership of tasks and deliver features from implementation through to release with support from senior team members 
 Seek out opportunities to learn, grow, and expand technical expertise 
 Participate in engineering community initiatives and adopt best practices across the organization 
 
 &nbsp; 
  PLAYER BENEFITS  We treat our team right &nbsp; From our many opportunities for professional development to our generous insurance and paid leave policies, we’re committed to making sure our employees get as much out of FanDuel as we ask them to give. Competitive compensation is just the beginning. As part of our team, you can expect: 
 
 An exciting and fun environment committed to driving real growth 
 Opportunities to build really cool products that fans love 
 Career and professional development resources to help you refine your game plan for owning and driving your career and development 
 Be well, save well and live well - with FanDuel Total Rewards your benefits are one highlight reel after another 
 
 &nbsp; 
  ABOUT FANDUEL  
 FanDuel Group is the premier mobile gaming company in the United States and Canada. FanDuel Group consists of a portfolio of leading brands across mobile wagering including: America’s #1 Sportsbook, FanDuel Sportsbook; its leading iGaming platform, FanDuel Casino; the industry’s unquestioned leader in horse racing and advance-deposit wagering, FanDuel Racing; and its daily fantasy sports product. &nbsp; 
 In addition, FanDuel Group operates FanDuel TV, its broadly distributed linear cable television network and FanDuel TV+, its leading direct-to-consumer OTT platform. FanDuel Group has a presence across all 50 states, Canada, and Puerto Rico. 
 The company is based in New York with US offices in Los Angeles, Atlanta, and Jersey City, as well as global offices in Canada and Scotland. The company’s affiliates have offices worldwide, including in Ireland, Portugal, Romania, and Australia. 
 FanDuel Group is a subsidiary of Flutter Entertainment, the world's largest sports betting and gaming operator with a portfolio of globally recognized brands and traded on the New York Stock Exchange (NYSE: FLUT). 
  Diversity, Equity and Inclusion  
   FanDuel is an equal opportunities employer. Diversity and inclusion in FanDuel means that we respect and value everyone as individuals. We don't tolerate bias, judgement or harassment. Our focus is on developing employees so that they reach their full potential.   
   FanDuel is committed to providing reasonable accommodations for qualified individuals with disabilities. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please email &nbsp;   The requirements listed in our job descriptions are guidelines, not hard and fast rules. You don’t have to satisfy every requirement or meet every qualification listed. If your skills are transferable and you are in the ballpark experience-wise, we'd love to speak to you!   Find  Jobs in United Kingdom  on Arbeitnow  Software Engineering",arbeitnow_api,2026-09-02,Mobile Development
Senior Frontend Engineer,Octopus Energy Group,"We're making energy fair, clean, and simple for all using technology.  
 Octopus Energy started with a bold idea: to build Britain’s first truly digital energy supplier. By combining world-class tech with brilliant humans who care deeply about customers and driving the renewable energy transition, we made it happen and in 2025, we became Britain’s largest energy supplier.  
  Octopus Energy Group  is a global energy transition collective. 10 businesses working across 4 continents to tackle energy transformation at nearly every front. 
 And we constantly push to make energy better. Tirelessly campaigning for fair protections for customers. And building innovative technologies that forge a path to a green energy system. 
 We’re made up of 10,000+ authentic, committed people working around the world on stuff you'd never expect. We're united by a shared goal: to drive the global green energy revolution. Read our  Spotlight series  to meet some of the team. 
   
 
  We are looking for a Senior Frontend Engineer to join our Flexibility team.  
 The Flexibility team was established in early 2026, and has been growing throughout the year. The team is focused on greenfield opportunities at the cutting edge of Octopus' flexibility strategy, and aims to enable rapid response to global flex opportunities. 
 They are building the next generation of products and tools to make energy more flexible. These include our flagship Intelligent Octopus product automating demand shift for 300,000 customers with electric cars, home batteries or smart heating devices, saving 2 million customers money through Saving Sessions and Free Electricity Sessions, and managing 568MW of large grid-scale batteries to balance the system. The team develops products that are used by millions of customers, helping boost renewables use and decarbonise energy systems worldwide. 
 We embrace flat hierarchies and an open, agile culture that fosters innovation, flexibility, and creativity.  
 We don’t hang our personalities up with our coats and nor should you. At Octopus, we hire great people who get stuff done, all whilst being themselves. 
 If this sounds exciting, we’d love to chat. 
 
   What you'll do   

 
 Acting as the flexibility team’s first frontend engineer, establish the team’s frontend capability, lead the team’s frontend technical direction and represent the team to the cross-team community of frontend engineers 
 
 
 Build and own a diverse range of customer-facing user journeys, enabling customers to onboard, control, and analyse their low carbon tech 
 
 
 Build and own internal-facing interfaces for stakeholder-collaborators and experimental prototypes 
 
 
 Interface with established mobile teams by providing WebViews for emerging mobile customer journeys  
 
 
 Collaborate with our internal design team to integrate our designs into the wider Octopus design system ‘Coral’ 
 
 
 Carry out product discovery by working closely with our Product Manager and stakeholders from across the organisation 
 
 
 Build highly reusable interfaces that enable rapid response to new opportunities 
 

   What you'll have   

 5+ years of experience with our stack (listed below) 
 
 Experience taking problems, rather than strict guidelines, and developing strong solutions 
 
 
 Confidence owning the development cycle (request, requirements gathering, technical proposal, technical execution, deployment and monitoring.) 
 
 
 Confidence tackling large-scale tasks individually 
 
 
 An empathetic approach to delegating work and collaborating with others 
 
 
 The ability to develop websites that meet strong accessibility guidelines 
 
 
 Experience building scalable, performant sites that handle high levels of traffic well 
 
 
 Desirable: energy domain knowledge 
 

   Our stack   

 
 React (required) 
 
 
 TypeScript (required) 
 
 
 Next.js on Vercel (desirable) 
 
 
 GraphQL w/ Tanstack Query (desirable) 
 
 
 React Testing Library & vitest and/or msw (desirable) 
 

   We have a preference for candidates who can work hybrid from our London office, but we're open to fully remote candidates (you do need to be based in the UK).      Why else you'll love it here 
 •  Wondering what the salary for this role is?  Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit! 
 • Octopus Energy Group is a  unique culture . An organisation where people learn, decide, and build quicker. Where people work with autonomy, alongside a wide range of amazing co-owners, on projects that break new ground. We want your hard work to be rewarded with perks you actually care about! We were recently named the  UK's top company to work for , and we ranked in the  top ten in the Sunday Times Best Places to Work 2024 . Our Group CEO, Greg has recorded  a podcast about our culture  and how we empower our people. We’ve also been placed in the  top 10 companies for senior leadership  
 • Visit our UK perks hub -  Octopus Employee Benefits  
   
   If this sounds like you then we'd love to hear from you, tell us what you care about, why Octopus feels right and most importantly, bring us the real you! Applying for jobs can be a bit scary so have a nose through  some of our tips first      🚀   
   
 P.S. Our process usually takes up to 4 weeks, but we’ll always do our best to flex around what works for you. Along the way, you’ll chat with our recruitment team and your Recruiter will help you throughout different stages. Got any burning questions before then? Drop us a message at ----- and we’d love to help! 
   
  Are you ready for a career with us? We want to ensure you have all the tools and environment you need to unleash your potential. Need any specific accommodations? Whether you require specific accommodations or have a unique preference, let us know, and we'll do what we can to customise your interview process for comfort and maximum magic!  
   
  Studies have shown that some groups of people, like women, are less likely to apply to a role unless they meet 100% of the job requirements. Whoever you are, if you like one of our jobs, we encourage you to apply as you might just be the candidate we hire. Across Octopus, we're looking for genuinely decent people who are honest and empathetic. Our people are our strongest asset and the unique skills and perspectives people bring to the team are the driving force of our success. As an equal opportunity employer, we do not discriminate on the basis of any protected attribute. Our commitment is to provide equal opportunities, an inclusive work environment, and fairness for everyone.   Find more  English Speaking Jobs in United Kingdom  on Arbeitnow  Frontend",arbeitnow_api,2026-09-02,Mobile Development
