job_title,company,description_text,source,date_collected,track
Fullstack Software Engineer - Core,dataiku,"Dataiku  is the Platform for AI Success, the enterprise orchestration layer for building, deploying, and governing AI. In a single environment, teams design and operate analytics, machine learning, and AI agents with the transparency, collaboration, and control enterprises require. Sitting above data platforms, cloud infrastructure, and AI services, Dataiku connects the full enterprise AI stack - empowering organizations to run AI across multi-vendor environments with centralized governance.  The world’s leading companies rely on Dataiku to operationalize AI and run it as a true business performance engine delivering measurable value. For more, visit the Dataiku  blog ,  LinkedIn ,  X , and  YouTube .    Why Engineering at Dataiku?  
 Dataiku’s on-premise, cloud, or SaaS-deployed platform connects many data science technologies, and our technology stack reflects our commitment to quality and innovation. We integrate the best of data and AI tech, selecting tools that truly enhance our product. From the latest LLMs to our dedication to open source communities, you'll work with a dynamic range of technologies and contribute to the collective knowledge of global tech innovators. You can find out even more about working in Engineering at Dataiku by taking a look  here . 
 Here are some useful links so you preview what we do at Dataiku:  Dataiku's Key Capabilities  ;  Dataiku's Github , you can also take a look at the  Gallery , a public instance showcasing some example projects (note editing is very limited and will be regularly reset).&nbsp; 
 Our product is called Dataiku DSS which stands for Dataiku Data Science Studio. If you’d like to know more about it, you can watch the demo  here  or try the free version  here . 
  How you’ll make an impact  
 As a Fullstack Engineer, you’ll contribute to building Dataiku DSS core features by joining one of the following themes: 
 
  Data Preparation : Develop tools for data integration, transformation, and cataloging, as well as Jupyter notebooks, SQL workbenches, and APIs.
 
 Add new capabilities for data integration, transformation, and visualization using LLMs 
 Optimize workflows for large-scale datasets and improve database support 
 Strengthen developer tools like Jupyter notebooks and SQL workbenches 
 Tech stack: Java, Python, AngularJS, Angular 
 
 
 
 
  AI &amp; Machine Learning : Collaborate on next-gen AI features, from statistics and time series forecasting to LLM inference.
 
 Build next-generation features like cross-provider LLM APIs or integration with the latest Machine Learning models 
 Collaborate with research teams on innovative machine learning experiments 
 Tech stack: Python, scikit-learn, TensorFlow, PyTorch, Java, Angular, AngularJS 
 
 
 
 
  Data Consumption:&nbsp; build the experience that makes data accessible and actionable for everyone.
 
 Enhance our collaborative Workspaces to organize and explore charts, dashboards, datasets and more 
 Create innovative &nbsp; interfaces &nbsp; that answer business questions and surface relevant insights using LLMs 
 Tech stack:&nbsp;Angular, AngularJS, Java, Python 
 
 
 
 
  Data Visualization : elevate our data visualization capabilities with high-performance charting tools and dashboards.
 
 Develop new chart types and optimize visualization performance 
 Enhance dash boarding capabilities to deliver fast and flexible experiences 
 Tech stack: React, AngularJS, Angular, D3.js, ECharts, Node.js, Java, Spring   
 
 
  MLOps : Develop back-end capabilities for automating and monitoring ML model lifecycles while supporting cross-functional collaboration.
 
 Build tools to automate retraining, monitoring, and deployment of ML models 
 Enhance collaboration features for ML stakeholders 
 Tech stack: Python, Java, Angular, Angular.JS, Kubernetes, Docker   
 
 
  Platform : Focus on scaling and securing the platform while improving cloud integrations and supporting a wide array of data sources and engines.
 
 Optimize processing engines for scalability and latency 
 Expand capabilities to support new databases and cloud platforms 
 Tech stack: Java, Python, Angular, Kubernetes, Spark, AWS, Azure, GCP   
 
 
  AI Governance : Build features for AI compliance, connecting disparate systems and simplifying governance processes.
 
 Develop customizable platforms for managing AI compliance and governance 
 Simplify policy enforcement and integration across disparate systems 
 Tech stack: Java, Angular, PostgreSQL 
 
 
 
  What you need to be successful&nbsp;  
 
 We’re stack agnostic, so all you need is a significant experience in software engineering,&nbsp; building a real product 
 We’re hiring at all levels (junior, mid, senior) 
 A passion for combining backend performance with exceptional frontend user experience. 
 You want to work in a fast-paced, high-growth environment that values diversity of talent, excellence of product, and exciting engineering challenges at scale 
 
  What does the hiring process look like?  
 
 Initial call with a member of our Technical Recruiting team (45min) 
 Video call with an Engineering Team Lead (1h30) 
 Technical Assessment to show your skills (Home Test or Live Coding) 
 Final Interviews with our VPs of Engineering (2h) &nbsp;  #LI-Remote  
   &nbsp; 
  What are you waiting for!  
 At Dataiku, you'll be part of a journey to shape the ever-evolving world of AI. We're not just building a product; we're crafting the future of AI. If you're ready to make a significant impact in a company that values innovation, collaboration, and your personal growth, we can't wait to welcome you to Dataiku! And if you’d like to learn even more about working here, you can visit our  Dataiku LinkedIn page . 
 &nbsp; 
  Our practices are rooted in the idea that everyone should be treated with dignity, decency and fairness. Dataiku also believes that a diverse identity is a source of strength and allows us to optimize across the many dimensions that are needed for our success. Therefore, we are proud to be an equal opportunity employer.&nbsp;All employment practices are based on business needs, without regard to race, ethnicity, gender identity or expression, sexual orientation, religion, age, neurodiversity, disability status, citizenship, veteran status or any other aspect which makes an individual unique or protected by laws and regulations in the locations where we operate. This applies to all policies and procedures related to recruitment and hiring, compensation, benefits, performance, promotion and termination and all other conditions and terms of employment. If you need assistance or an accommodation, please contact us at:   &nbsp; 
   
 
 &nbsp; 
  Protect yourself from fraudulent recruitment activity  
  Dataiku will never ask you for payment of any type during the interview or hiring process. Other than our video-conference application, Zoom, we will also never ask you to make purchases or download third-party applications during the process. If you experience something out of the ordinary or suspect fraudulent activity, please review our page on identifying and reporting fraudulent activity&nbsp; here.   
   Find more  English Speaking Jobs in United Kingdom  on Arbeitnow  Engineering",arbeitnow_api,2026-09-02,Full-Stack Development
Senior Data Engineer,Quantum,"Our Company  At Quantum, we connect global brands with high-intent consumers. We turn intent into action and complexity into clarity.    Our Mission is clear, to help smarter, faster buying decisions. Our vision, to be the world’s most used digital comparison service, delivering value and simplicity to millions.    We drive growth through data-driven affiliate marketing built for performance from day one. Every campaign is measurable, optimised in real time, and designed to scale.    With in-house tech, full-stack analytics, and a compliance-first mindset, we give our partners an edge. We drive confident decisions and growth in regulated and high-growth sectors. We’ve helped ambitious brands grow faster, smarter, and globally.     The Role   Our Technology team is growing and we'd love you to grow with us. We're looking for a skilled and experienced Senior Data Engineer to help design and build a robust, scalable, and high-performance real-time data backbone.  In this role, you'll take a leading hand in the design, development, and implementation of a real-time data backbone. Your focus will be on building and maintaining scalable, high-performance data pipelines that support real-time data processing and analytics. You'll work closely with teams across the business to ensure our infrastructure meets growing data needs, leveraging modern technologies for efficient data ingestion, storage, and analysis.     Key Responsibilities     Design, develop, and maintain scalable data pipelines and infrastructure that power real-time analytics and reporting.    Take ownership of our semantic layer using Cube.js, enabling reliable, self-serve analytics across the organisation.    Integrate and unify data from Salesforce, CDP, and SCV sources, ensuring clean, consistent data flow across marketing and customer data platforms.    Lead the development of transformation workflows using dbt, with a strong emphasis on testing, documentation, and data quality.    Architect and manage pipeline orchestration via Apache Airflow, ensuring reliability and observability at every stage.    Monitor and optimise pipeline performance for low-latency, high-throughput use cases.    Collaborate closely with Data Architect, marketing analysts, and business stakeholders to ensure data infrastructure directly supports business objectives.    Mentor and support more junior engineers, helping to raise the bar across the team.       About You     Significant hands-on experience in data engineering, with a proven track record of leading and delivering complex data initiatives end to end.    Great understanding of semantic layers such as Cube.js you've built and maintained semantic layers and understand pre-aggregations, caching strategies, and multi-tenancy.    Strong experience integrating Salesforce Marketing Cloud, CDP, and Single Customer View (SCV) data you understand the nuances of customer and marketing data at scale.    Expert-level SQL and proven experience building robust transformation pipelines with dbt.    Solid experience orchestrating workflows with Apache Airflow in production environments.    Comfortable working across cloud platforms (AWS, GCP, or Azure) for data ingestion, storage, and processing.    Proficiency in Python or a similar language for pipeline development and automation.    Strong data modelling instincts you think carefully about how data is structured, named, and consumed downstream.    You're as comfortable whiteboarding architecture with engineers as you are explaining data concepts to non-technical stakeholders.    Calm and focused in a fast-moving environment you can prioritise well and bring others along with you.    Excellent written and verbal English communication skills.    You lead by example, care about the team's success, and leave things better than you found them.       What You’ll Get     Private Health Care (Bupa)    Hybrid Working (3 days in office)    Travel Insurance    Competitive Base Salary    Company Bonus Scheme    Paid for AI Subscription (Claude / ChatGPT / Gemini)    Market-Leading Training Programme    Recognition & Reward Scheme    Annual Company Conference     Regular Happy Hours & Team Lunches    Free Coffee, Drinks & Snacks       What’s the next step?   Our hiring process ensures we're recruiting the right people for the role. We ensure that people are as suitable for us as we are for them.  If you like the sound of what we're all about at Quantum and want to join a team where you can make an impact, please apply or contact us at ----- Find more  English Speaking Jobs in United Kingdom  on Arbeitnow  Technology",arbeitnow_api,2026-09-01,Full-Stack Development
Senior Full Stack Engineer,Quantum,"Our Company  At Quantum, we connect global brands with high-intent consumers. We turn intent into action and complexity into clarity.    Our Mission is clear, to help smarter, faster buying decisions. Our vision, to be the world’s most used digital comparison service, delivering value and simplicity to millions.    We drive growth through data-driven affiliate marketing built for performance from day one. Every campaign is measurable, optimised in real time, and designed to scale.    With in-house tech, full-stack analytics, and a compliance-first mindset, we give our partners an edge. We drive confident decisions and growth in regulated and high-growth sectors. We’ve helped ambitious brands grow faster, smarter, and globally.     The Role   Our Technology team is growing and we'd love you to grow with us. We're looking for a Senior Full Stack Engineer to help shape and scale our technology platform as we pursue our ambitious vision.  In this role, you'll take a leading hand in both frontend and backend systems delivering high quality development and thoughtful technical solutions across the product lifecycle. While your primary focus will be coding and architecture, you'll also support and guide other developers, helping to foster a culture of quality, curiosity, and continuous improvement.  You're a skilled individual contributor  and  a collaborative technical champion, someone who enjoys working closely with others to build scalable, efficient, and well crafted applications using modern frameworks and tools.     Key Responsibilities     Lead by example as a hands on developer, contributing to both front-end and back-end codebases    Shape architecture and system design for web applications, with a focus on scalability, security, and performance    Mentor and support other engineers, championing code quality through thoughtful reviews and shared best practices    Design and implement responsive, user friendly web interfaces using modern JavaScript frameworks (Next.js, React)    Partner with UX/UI designers to bring designs to life as functional, intuitive experiences       About You     Strong expertise in JavaScript frameworks such as React, Vue.js, or Angular, with solid proficiency in HTML, CSS, and responsive design    Solid experience with Node.js, Express.js, and building RESTful APIs or microservices    Comfortable working with both SQL (PostgreSQL, MySQL) and NoSQL (MongoDB) databases    Experience integrating automated tests into CI/CD pipelines (e.g. Jenkins, CircleCI, GitLab CI) and familiarity with containerisation tools like Docker    Knowledge of CMS would be a bonus    You do your best work as part of a team and enjoy sharing knowledge as much as gaining it    You're comfortable navigating ambiguity and a fast-moving environment    Excellent written and verbal English skills    Collaborative and grounded, you value others' perspectives and create space for them       What You’ll Get     Private Health Care (Bupa)    Hybrid Working (3 days in office)    Travel Insurance    Competitive Base Salary    Company Bonus Scheme    Paid for AI Subscription (Claude / ChatGPT / Gemini)    Market-Leading Training Programme    Recognition & Reward Scheme    Annual Company Conference     Regular Happy Hours & Team Lunches    Free Coffee, Drinks & Snacks       What’s the next step?   Our hiring process ensures we're recruiting the right people for the role. We ensure that people are as suitable for us as we are for them.  If you like the sound of what we're all about at Quantum and want to join a team where you can make an impact, please apply or contact us at ----- Find more  English Speaking Jobs in United Kingdom  on Arbeitnow  Technology",arbeitnow_api,2026-09-01,Full-Stack Development
