job_id,job_title,company,description_text,source,date_collected,track,skills
1,Software Engineer Data Infrastructure & Acquisition - Frankfurt Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview We re looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure engineering and research work. We are looking for a skilled Software Engineer to join us. What You ll Do Be scrappy to find new sources of audio data and bring it into our ingestion pipeline Operate and extend the cloud infrastructure for our ingestion pipeline currently running on GCP and managed with Terraform. Collaborate closely with our Scientists to shift the cost/throughput/quality frontier delivering richer data at bigger scale and lower cost to power our next-generation models. Collaborate with others on the AI Team and Speechify Leadership to craft the AI Team s dataset roadmap to power Speechify s next-generation consumer and enterprise products. An Ideal Candidate Should Have BS/MS/PhD in Computer Science or a related field. 5+ years of industry experience in software development. Proficiency with bash/Python scripting in Linux environments Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider we use GCP Experience with web crawlers large-scale data processing workflows is a plus Ability to handle multiple tasks and adapt to changing priorities. Strong communication skills both written and verbal. What we offer A fast-growing environment where you can help shape the company and product. An entrepreneurial-minded team that supports risk intuition and hustle. A hands-off management approach so you can focus and do your best work. An opportunity to make a big impact in a transformative industry. Competitive salaries a friendly and laid-back atmosphere and a commitment to building a great asynchronous culture. Opportunity to work on a life-changing product that millions of people use. Build products that directly impact and support people with learning differences like dyslexia ADD low vision concussions autism and more. Work in one of the fastest-growing sectors of tech the intersection of artificial intelligence and audio. The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,Network Administration,bash; ios; linux
2,Software Engineer Data Infrastructure & Acquisition - Berlin Germany,Speechify,The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify s text-to-speech products to turn whatever they re reading PDFs books Google Docs news articles websites into audio so they can read faster read more and remember more. Speechify s text-to-speech reading products include its iOS app Android App Mac App Chrome Extension and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today nearly 200 people around the globe work on Speechify in a 100 distributed setting Speechify has no office. These include frontend and backend engineers AI research scientists and others from Amazon Microsoft and Google leading PhD programs like Stanford high growth startups like Stripe Vercel Bolt and many founders of their own companies. Overview We re looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure engineering and research work. We are looking for a skilled Software Engineer to join us. What You ll Do Be scrappy to find new sources of audio data and bring it into our ingestion pipeline Operate and extend the cloud infrastructure for our ingestion pipeline currently running on GCP and managed with Terraform. Collaborate closely with our Scientists to shift the cost/throughput/quality frontier delivering richer data at bigger scale and lower cost to power our next-generation models. Collaborate with others on the AI Team and Speechify Leadership to craft the AI Team s dataset roadmap to power Speechify s next-generation consumer and enterprise products. An Ideal Candidate Should Have BS/MS/PhD in Computer Science or a related field. 5+ years of industry experience in software development. Proficiency with bash/Python scripting in Linux environments Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider we use GCP Experience with web crawlers large-scale data processing workflows is a plus Ability to handle multiple tasks and adapt to changing priorities. Strong communication skills both written and verbal. What we offer A fast-growing environment where you can help shape the company and product. An entrepreneurial-minded team that supports risk intuition and hustle. A hands-off management approach so you can focus and do your best work. An opportunity to make a big impact in a transformative industry. Competitive salaries a friendly and laid-back atmosphere and a commitment to building a great asynchronous culture. Opportunity to work on a life-changing product that millions of people use. Build products that directly impact and support people with learning differences like dyslexia ADD low vision concussions autism and more. Work in one of the fastest-growing sectors of tech the intersection of artificial intelligence and audio. The Germany Based Salary range for this role is 30 000-120 000 USD/Year + Bonus + Stock depending on experience. Think you re a good fit for this job Tell us more about yourself and why you re interested in the role when you apply. And don t forget to include links to your portfolio and LinkedIn. Not looking but know someone who would make a great fit Refer them Speechify is committed to a diverse and inclusive workplace. Speechify does not discriminate on the basis of race national origin gender gender identity sexual orientation protected veteran status disability age or other legally protected status. Find more English Speaking Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,Network Administration,bash; ios; linux
3,Infrastructure Engineer,Emplyfy,Join an established technology organisation providing managed IT services to some of the market s most recognised companies. Our client is looking for an experienced Infrastructure Engineer to support customer environments across a varied and hands-on technical role. The successful candidate will combine remote support with regular customer-site activity working across infrastructure Microsoft technologies hardware software and security. Your Responsibilities Provide technical assistance to customers and act as a reliable point of contact. Attend customer locations to diagnose faults carry out repairs and complete scheduled maintenance. Manage support incidents and requests through the company s ticketing system. Provide customers with timely updates and ensure agreed service levels are maintained. Escalate critical technical problems to Management when appropriate. Review workload and priorities each day and take ownership of required actions. Monitor customer infrastructure and system environments to ensure they remain operational and meet business requirements. Deploy test maintain and troubleshoot hardware and software. Accurately document technical work and maintain up-to-date service tickets. Take ownership of urgent incidents whether handled remotely or at a customer site. Benefits 30 000 - 40 000 per annum depending on experience. 40 days paid holiday annually. You will need at least 5 years experience in a relevant IT role with a strong technical background covering Cyber Essentials and GDPR security implementation mandatory . Microsoft 365 and its core services including Email SharePoint Teams and OneDrive mandatory . Intune RMM platforms and telephone/communications systems. Network infrastructure and connectivity including routers switches APs DHCP DNS TCP/IP VLANs and firewalls. Working collaboratively with external suppliers and technical service providers. IT processes procedures and industry best practices. Windows Server 2016 2019 and 2022 including Group Policy and security configuration. Azure administration and system implementations. Windows 10 Windows 11 and Mac. Client builds imaging and deployment. Excellent written and verbal communication with a strong customer-service mindset. Strong analytical and troubleshooting skills and the ability to work independently. Find more English Speaking Jobs in United Kingdom on Arbeitnow Infrastructure,arbeitnow_api,2026-09-02,Network Administration,dhcp; dns; tcp/ip; troubleshooting; windows server
4,IT Support & Infrastructure Engineer,Emplyfy,Are you an experienced IT professional looking for a hands-on role within an international technology organisation Our client is an established Managed Service Provider delivering IT support and infrastructure services to a range of well-known businesses. They are looking for a proactive and technically capable engineer who is comfortable working directly with customers resolving technical issues and supporting IT environments both remotely and on customer premises. Key Responsibilities Provide technical assistance to customers and act as a trusted point of contact for support matters. Visit customer sites to investigate and resolve technical issues perform installations and undertake planned maintenance. Manage incidents requests and ongoing technical tasks through the Service Desk system. Provide customers with regular updates and ensure tickets are progressed within agreed SLAs. Escalate critical complex or high-priority issues to Management when appropriate. Organise daily workloads and ensure urgent and important tasks are dealt with accordingly. Monitor customer environments and infrastructure to ensure systems remain reliable and meet business requirements. Install configure test maintain and repair IT hardware software and related systems. Maintain accurate ticket information and document technical work and outstanding actions. Respond to major incidents and priority issues both remotely and at customer locations. Benefits 30 000 - 40 000 per annum depending on experience. 40 days paid holiday annually. The ideal candidate will have a minimum of 5 years experience in a similar IT engineering role with practical knowledge of Cyber Essentials and GDPR security standards including configuration and implementation mandatory . Microsoft 365 services including Email SharePoint Teams and OneDrive mandatory . Microsoft Intune RMM solutions and telephone platforms. Network infrastructure installation and support including routers switches wireless APs DHCP DNS TCP/IP firewalls and VLANs. Working with external suppliers and service providers to resolve technical requirements. Applying appropriate IT procedures controls and industry best practices. Windows Server 2016 2019 and 2022 including Group Policy and security policies. Azure administration and implementation. Windows 10 Windows 11 and Mac operating systems. Building imaging and configuring different customer environments. Strong written and verbal communication skills and a professional customer-facing manner. The ability to analyse issues troubleshoot effectively and work independently. A collaborative approach and the ability to contribute as part of a wider team. Find more English Speaking Jobs in United Kingdom on Arbeitnow Infrastructure,arbeitnow_api,2026-09-02,Network Administration,dhcp; dns; tcp/ip; windows server
5,Database Platform Manager,Thgingenuity,About THG Ingenuity THG Ingenuity is a fully integrated digital commerce ecosystem designed to power brands without limits. Our global end-to-end tech platform is comprised of three products THG Commerce THG Studios THG Fulfilment. Each represents a single unified solution overcoming challenges and taking brands direct-to-consumer. Our client portfolio includes globally recognised brands such as Coca-Cola Nestle Elemis Homebase and Proctor & Gamble. Database Platform Manager Company THG Ingenuity Location Manchester Head Office Reports to Director of Data Role Overview We are looking for a strong technical leader to run our database platform. Our estate runs on Google Cloud Platform following a recent migration to self-managed services and there is a real opportunity here to shape the next phase. How we consolidate and modernise the estate where managed and cloud-native services earn their place which new technologies are worth adopting and how the platform scales with the business are all live questions. You will lead the thinking on them and work with stakeholders across the business to agree and deliver the roadmap. You will lead our DBA team who own every database across the group regardless of the application running on it and who run the platform as a 24/7 service. You will work hand in hand with our Data Reliability Engineering team whose Principal Engineer is your peer and whose focus is automation fleet reliability and SLOs. This role is weighted toward hands-on technical depth. You should be as credible in a design review or an incident bridge as you are in a planning session with senior stakeholders. Key Responsibilities Technical direction The technical roadmap for the estate. We want someone genuinely interested in emerging database technologies who evaluates them on merit and can articulate the pros and cons clearly to a technical or non-technical audience Own the strategy and delivery of the consolidation and modernisation programme across the estate including sequencing risk and making the case to the business Shape the direction of the platform and the team around two priorities high resiliency and cost effectiveness making the trade-offs explicit and building stakeholder consensus behind them Target architecture on GCP where self-managed instances remain right and where managed and cloud-native services earn their place Standards for database design performance high availability and disaster recovery patching and backup and recovery Senior escalation point for complex L3 work performance and query tuning replication and failover major incident response and post-incident review Automation infrastructure as code and database CI/CD with everything in GitHub under proper change management so routine change scales without scaling headcount Team leadership Line management of the DBA team across the UK and India 1 1s development performance hiring and onboarding The L1/L2/L3 operating model and the rotas that support it including on-call run sustainably and held as data rather than tribal knowledge Growing technical depth across the team through design review pairing and deliberate development Working as a close peer to the Principal Data Reliability Engineer with both teams operating together on automation reliability and incident response Planning and stakeholders Capacity and allocation planning for the team and the trade-offs when demand exceeds supply Weekly status and RAG reporting to senior leadership and representing the platform in cross-functional forums Agreeing modernisation priorities with stakeholders and sequencing them realistically alongside run commitments Input into GCP cost forecasting and run-rate and day-to-day management of vendor and cloud partner relationships Skills and Experience Essential PostgreSQL core requirement deep current hands-on expertise covering performance tuning replication high availability and failover upgrades backup and point-in-time recovery Microsoft SQL Server strong administration experience including Always On availability groups clustering query tuning and maintenance Migration between platforms practical experience moving production workloads between database engines including schema and code conversion data migration and cutover SQL able to write and optimise complex queries and diagnose execution plans first-hand Google Cloud Platform production database workloads in GCP Compute Engine Cloud SQL persistent storage networking IAM and a clear view of the trade-offs between self-managed and managed services On-premise infrastructure servers storage networking and virtualisation and the realities of a hybrid estate GitHub CI/CD and change management everything in source control automated pipelines for database change and a disciplined approach to change control in a production environment 24/7 service ownership on-call incident and problem management SLAs post-incident review Technology evaluation and influence assessing new database technologies objectively and making a clear evidence-based case to technical and non-technical stakeholders balancing resilience against cost Line management in an infrastructure DBA or SRE context Capacity planning and reporting into senior leadership Desirable Couchbase or comparable NoSQL / document-store experience CockroachDB or other distributed SQL platforms Automation and IaC Terraform Ansible Python / PowerShell / Bash Database CI/CD tooling Flyway Liquibase or Redgate Database observability Prometheus Grafana Cloud Monitoring or equivalent Kafka or streaming platforms Managing distributed or offshore teams Regulated or high-availability environments sector if relevant You as a Person You are curious about technology and restless with the status quo. You keep an eye on where the database world is going form a view and are willing to argue for change when the current approach has stopped being the right one You challenge constructively. You are comfortable disagreeing with a decision including one of your own and you do it with evidence and without making it personal You give people room to grow. We have a culture that supports people stretching beyond their job description and you create that space for your team rather than defending boundaries You are pragmatic about trade-offs. You can hold resilience cost and delivery pressure in the same conversation and make a defensible call rather than an idealistic one You communicate well with people who are not database engineers. You can take a complex technical trade-off and make it land with a stakeholder who needs to make a decision not a lecture You lead from the front. You are hands-on by instinct and your team see you in the detail with them particularly when things are going wrong You take on-call seriously as a human problem not just a rota. Sustainable fairly shared and something people are supported through THG Ingenuity is proud to be a Disability Confident Committed employer. If you are invited to interview please let us know if there are any reasonable adjustments we can make to the recruitment process that will enable you to perform to the best of your ability. THG Ingenuity is committed to creating a diverse & inclusive environment and hence welcomes applications from all sections of the community. Because of the high volumes of applications our opportunities attract it sometimes takes us time to review and consider them all. We endeavour to respond to every application we receive within 14 days. If you haven t heard from us within that time frame or should you have any specific questions about this or other applications for positions at THG Ingenuity please contact one of our Talent team to discuss further. Find Jobs in United Kingdom on Arbeitnow Ingenuity Technology,arbeitnow_api,2026-09-01,Network Administration,bash; high availability; powershell
