job_id,job_title,company,description_text,source,date_collected,track,skills
1,AI Engineer - Dealflow m/w/d,Flex Capital Management Gmbh,Info Als AI-Engineer - Dealflow entwickelst und verantwortest du das Produkt bzw. Tool mit dem wir unseren proprietären Dealflow im Investmentteam im DACH-Software- und Tech-Mittelstand aufbauen. Dein Ziel Attraktive Unternehmen und ihre Gesellschafter frühzeitig identifizieren und erreichen idealerweise bevor ein M&A-Berater mandatiert oder ein breiter Verkaufsprozess gestartet wird. Dabei verbindest du zwei Welten AI-Skills und Deal Origination. Du baust die Daten- Tool- und Reporting-Infrastruktur auf der Market Maps Outbound-Kampagnen und potenzielle Investments und ein skalierbarer Sourcing-Prozess aufsetzen. Du arbeitest eng mit unserem FLEX Leadership Team dem Investment Team und dem Data & AI Team zusammen und du erhältst vom ersten Tag an viel Ownership für den Aufbau einer zentralen Funktion bei FLEX. Deine Aufgaben Du baust und verantwortest das AI-Produkt/Tool das unseren Origination-Funnel kontinuierlich mit Software- und Technologieunternehmen im DACH-Mittelstand befüllt. Du entwickelst es laufend weiter und verbesserst es iterativ. Du entwickelst die Screening- und Priorisierungslogik für Targets und verbesserst deren Trefferqualität systematisch. Du baust die automatisierte Datenbeschaffung und -anreicherung aus sodass Targets angereichert werden mit Firmographics und Eigentümerstrukturen. Du entwickelst Logik und Workflows um Intent-Signale und potenzielles Verkaufsinteresse zu erkennen. Du initiierst die automatisierte Multichannel-Ansprache und entwickelst die zugrunde liegenden Prozesse weiter. Du baust Dashboards und Reports zu Funnel Aktivitäten und Conversion als Grundlage unserer Sourcing- und Pipeline-Reviews. Du evaluierst neue Prospecting- und Sourcing-Tools und entwickelst Ansprache Sequenzen und unsere Messaging-Bibliothek weiter. Dein Profil Du hast eigene Tools und Automatisierungen gebaut die produktiv im Einsatz waren nicht nur Prototypen und Demos. Du bringst mindestens 2 3 Jahre Erfahrung im Aufbau AI-basierter Produkte/Tools mit. Du entwickelst selbstständig in Python und deployst mit Docker auf Azure in Produktion. Du kennst LLM-APIs OpenAI Claude aus der Praxis und weißt wo sie zuverlässig funktionieren und wo noch nicht. Du hast bereits Erfahrung im Umgang mit CRM-Daten und weißt worauf es bei Datenqualität und -struktur ankommt. Kenntnisse in Pipedrive Agentensystemen sowie Frameworks wie LangGraph sind ein Plus. Du denkst kommerziell Du verstehst warum ein Target relevant ist und misst dich an Ergebnissen. Du hast ein Studium in Wirtschaftsinformatik Data Science Data Analytics Informatik oder einem vergleichbaren MINT-Fach erfolgreich abgeschlossen. Du sprichst verhandlungssicher Deutsch und Englisch. Benefits Raum zum Wachsen und die Möglichkeit viel Verantwortung zu übernehmen kombiniert mit halbjährlichem Feedback und einem individuellen Weiterbildungsbudget. Persönliche und berufliche Entwicklungsmöglichkeiten durch ein inspirierendes und dynamisches Umfeld und flache Hierarchien. Regelmäßige Events ein gemeinsamer Sommerurlaub sowie verschiedene Gesundheitsangebote wie beispielsweise zweimonatliche Massage / Physiotherapie im Büro. Moderne und ergonomische Arbeitsmittel ein Office im Herzen Berlins direkt am Park am Gleisdreieck sowie eine voll ausgestattete Küche mit gesunden Snacks Softdrinks und einem monatlichen Friday Beer/Sekt/Wein. Ein attraktives Gehaltspaket inklusive Möglichkeiten zur Brutto-Netto-Optimierung. Über uns FLEX Capital ist ein Private Equity Fonds der sich auf Wachstums- und Buy-out-Möglichkeiten im deutschen Software- und Tech-Mittelstand fokussiert. Hinter FLEX Capital stehen sechs Seriengründer die mehrfach marktführende Unternehmen mit internationaler Geschäftstätigkeit aufgebaut haben. Auf dieser Basis teilt das FLEX-Team seine Erfahrungen mit Unternehmern und Management Teams unterstützt sie Hands-on und hilft ihnen so die gemeinsamen Ziele zu erreichen. Kontakt Join us Wir freuen uns auf Deine Bewerbung Find Jobs in Germany on Arbeitnow,arbeitnow_api,2026-09-02,Machine Learning / AI,llm; python
2,Data Scientist / Data Engineer,80 Beats Medical GmbH,80 Beats Medical is a Berlin-based medical technology company developing innovative solutions for cardiovascular and vascular diagnostics. Our VICORDER platform enables non-invasive assessment of vascular health Building on this established technology we are expanding our clinical diagnostic portfolio by combining medical device technology with advanced data analytics and AI. Our goal is to transform complex physiological and cardiovascular data into reliable clinically meaningful insights that can support earlier risk detection and better-informed clinical decisions. We are a growing international team working at the intersection of medical devices software data science and clinical research. We are looking for an experienced Data Scientist / Data Engineer to help build the data and AI infrastructure behind our next generation of medical diagnostic solutions. You will work with high-frequency physiological and clinical data developing secure and scalable data pipelines and supporting the transition of machine learning models from research into production-ready clinical applications. You will work closely with our software clinical and regulatory teams in a highly interdisciplinary environment. Tasks Design build and maintain robust scalable and secure data ingestion and transformation pipelines. Implement automated ingestion validation lineage tracking and quality monitoring. Develop and maintain reusable data libraries transformation logic and governance frameworks. Ensure full compliance with GDPR NIS2 Cyber Resilience Act EU HIPAA US and other global regulatory frameworks. Experience with implementation of Role-based access control RBAC Encryption in transit and at rest HSM/KMS Data anonymization & pseudonymization workflows and Consent handling and audit mechanisms. Participate in security audits compliance reviews and certification efforts. Operationalize AI pipelines including model deployment monitoring drift handling versioning and automated retraining. Deploy explainable AI tooling SHAP/LIME into the pipeline for auditability and compliance. Maintain CI/CD workflows for data and ML workloads. Develop Python-based analytics scripts reusable data modules and feature engineering logic. Support visualization of workflows. Ensure reproducibility and model traceability across the full lifecycle. Requirements QUALIFICATIONS Degree in Computer Science Engineering Data science AI Cybersecurity or similar. 5+ years of experience building secure compliant cloud-based data ecosystems for regulated data domains. Hands-on experience with time-series data sensor data or biomedical/wearable data. Knowledge of statistical programming Strong understanding of ML approaches for classification anomaly detection and prediction using high-frequency data. Proficiency in one or more programming languages Advanced experience with Orchestration Data frameworks and Infrastructure automation. Proven cross-functional communication skills. Clear documentation-driven engineering approach. GOOD TO HAVE Experience with multilevel longitudinal data missing data strategies and clinical outcome modeling. Good working knowledge of either AWS Azure or GCP Hands on experience with Python and/or JavaScript including libraries for ML such as TensorFlow and PyTorch and visualization libraries such as Tableau Looker Grafana or Streamlit Previous work with Airflow Dagster for Orchestration and Prefect Spark dbt Kafka for data frameworks and Terraform Kubernetes Helm for infrastructure automation. Knowledge of medical data formats FHIR HL7 DICOM . Management of encryption standards and secure authentication Benefits Competitive salary and comprehensive benefits package. Opportunities for professional growth and development. A supportive and innovative work environment. The chance to make a meaningful impact on the lives of patients and healthcare professionals. You are at the forefront of developing technology that saves lives what else is there Join our innovative Berlin team as a Data Scientist / Data Engineer to revolutionize cardiovascular diagnostics through cutting-edge technology and international collaboration. Be part of healthcare s future today Find more English Speaking Jobs in Germany on Arbeitnow Data Scientist,arbeitnow_api,2026-09-02,Machine Learning / AI,aws; feature engineering; machine learning; model deployment; python; pytorch; spark; tensorflow
3,Sr. Manager AI Forward Deployed Engineering AI-FDE,databricks,REQ ID CSQ427R198 Location London United Kingdom - Remote location for candidates to be based in the United Kingdom region only not remote from any other country Mission The Forward Deployed AI Engineering AI FDE team is a highly specialised customer-facing AI team at Databricks. We deliver professional services PS engagements to help our customers build and productionize first-of-its-kind AI applications with a focus on GenAI. We work cross-functionally with AI/ML Product Research and Engineering to shape long-term strategic priorities and initiatives. We are looking for a world-class leader to lead and grow our EMEA AI FDE team. In this role you will lead customers on their AI/ML transformation with Databricks push the boundaries of our product recruit and develop top data scientists/machine learning engineers and manage a portfolio of key EMEA accounts. You will report directly to the Head of EMEA AI FDE. The impact you will have Lead and scale a world-class AI/ML professional services team including hiring mentoring and building a team structure to support long-term growth and execution at scale Develop and expand executive relationships with EMEA customers and partners including VP+ CIO/CDO-level stakeholders acting as a trusted advisor during complex technical engagements and AI transformations Align with Field Engineering and Sales Leaders to define joint strategies for strategic accounts and ensure strong delivery coordination across functions Lead strategic AI PS initiatives practice development and standardised delivery processes design scalable engagement models and reusable solutions for repeatability across the global team Shape cross-functional collaboration by influencing Product R&D and GTM ensuring voice-of-customer insights and delivery learnings help inform the product roadmap and GTM strategy Own OKRs for AI-services led accounts revenue utilisation and public references Represent Databricks as a thought leader in AI/ML What we look for Extensive experience managing hiring and building a team of high-performing data scientists/ML engineers and leaders with a track record of scaling organisations through developing scalable processes and cultivating leaders Ability to scope guide and sell technical engagements manage escalations and ensure successful delivery in enterprise environments Deep technical expertise in ML GenAI and data science and curiosity to continue to stay up-to-date in this ever-changing field Experience leading teams building cutting-edge production ML solutions in cloud environments AWS Azure or GCP Proven success in developing a strategy with senior executive stakeholders to define program-level goals align technical vision and build trust throughout complex enterprise engagements Demonstrated experience in cross-functional leadership roles collaborating with Sales Product and GTM teams to drive business impact through AI/ML Company-first mindset Graduate degree in a quantitative discipline Computer Science Engineering Statistics Operations Research etc. or equivalent practical experience Preferred Experience in a customer-facing consulting or professional services leadership role Experience working with Databricks About Databricks Databricks is the Data and AI company. More than 20 000 organizations worldwide including adidas AT&T Bayer Block Mastercard Rivian Unilever and 70 of the Fortune 500 rely on the Databricks Data + AI Platform to build and scale data and AI apps analytics and agents. Headquartered in San Francisco with 30+ offices around the globe Databricks offers a unified platform that includes Genie Lakebase Agent Bricks Lakeflow Lakehouse and Unity Catalog. To learn more follow Databricks on LinkedIn X YouTube and Instagram . Benefits At Databricks we strive to provide comprehensive benefits and perks that meet the needs of all of our employees. For specific details on the benefits offered in your region click here . Our Commitment to Diversity and Inclusion At Databricks we are committed to fostering a diverse and inclusive culture where everyone can excel. We take great care to ensure that our hiring practices are inclusive and meet equal employment opportunity standards. Individuals looking for employment at Databricks are considered without regard to age color disability ethnicity family or marital status gender identity or expression language national origin physical and mental ability political affiliation race religion sexual orientation socio-economic status veteran status and other protected characteristics. Compliance If access to export-controlled technology or source code is required for performance of job duties it is within Employer s discretion whether to apply for a U.S. government license for such positions and Employer may decline to proceed with an applicant on this basis alone. Find more English Speaking Jobs in United Kingdom on Arbeitnow Professional Services Operations,arbeitnow_api,2026-09-02,Machine Learning / AI,aws; machine learning; r; statistics
4,Senior Product Data Analyst- Consumer Growth,SumUp,About the team SumUp is best known for helping small businesses get paid our Consumer tribe builds the other half of that story. We make SumUp Consumer the wallet app that lets everyday consumers pay SumUp merchants with a tap send money to friends track their spending and earn loyalty rewards along the way. As we grow SumUp Consumer across new markets and features we need sharp reliable insight into how people discover adopt and use the product and how that behaviour translates into sustainable commercial growth. This includes understanding our acquisition funnel improving activation and conversion increasing customer value and reducing churn. We re looking for a Product Data Analyst to join the Consumer tribe and become the analytical partner for SumUp Consumer. You ll work closely with Product Managers Designers and Engineers alongside our Analytics Engineering team to understand customer behaviour shape product strategy and connect product performance to business outcomes. You ll help answer questions such as Which acquisition channels and customer segments generate the strongest long-term value Where do customers drop out of the journey from acquisition to activation What drives repeat usage retention and churn Which product changes improve conversion customer value or commercial performance How should we prioritise product investments across markets and customer segments If you re motivated by meaningful analytical work enjoy translating complexity into clarity and want to see your insights directly influence both product decisions and commercial outcomes this role is for you. What you ll do Analyse customer behaviour and product performance across the full consumer lifecycle from acquisition and activation through engagement retention churn and reactivation . Identify opportunities to improve conversion customer value and sustainable growth using funnel analysis cohort analysis segmentation and behavioural analytics. Collaborate closely with Product Managers Designers Engineers and Data teams to ensure decisions are grounded in robust analysis customer insight and commercial understanding. Evaluate the performance of customer segments markets channels and product journeys helping the team understand where growth opportunities and commercial trade-offs exist. Support decisions that improve key business outcomes such as activation conversion repeat usage retention churn customer lifetime value and revenue-related metrics. Conduct exploratory analysis to answer product and business questions translating complex data into clear commercially relevant recommendations. Define monitor and communicate core SumUp Consumer KPIs covering acquisition activation engagement conversion retention churn and customer value. Design execute and analyse A/B tests and product experiments assessing both customer impact and commercial impact. Build and maintain dashboards and reporting that stakeholders actively use proactively surfacing trends anomalies performance risks and growth opportunities. Help Product Managers assess the expected impact of opportunities and evaluate whether product investments are delivering the intended customer and business outcomes. Partner with Analytics Engineering to ensure KPI definitions business logic and product instrumentation are accurate scalable and trusted. Bring a curious eye to AI and machine learning techniques including LLM-assisted analysis to speed up insight generation customer understanding and product measurement. You ll be great for this role if You have strong SQL skills and are comfortable querying analysing and validating data in a cloud data warehouse such as Snowflake BigQuery or similar. You have hands-on experience with product analytics techniques such as funnel analysis cohort analysis segmentation and behavioural analysis. You understand the commercial drivers of a digital product including customer acquisition conversion activation retention churn and customer lifetime value. You can connect customer behaviour and product performance to business outcomes and use data to identify growth opportunities and inform prioritisation. You ve worked on A/B tests or product experiments with a solid grounding in the statistics behind them. You re proficient in a visualisation tool such as Looker Tableau or Power BI with a track record of building dashboards that stakeholders actually use. You can translate ambiguous product or business questions into structured analysis and explain findings clearly to technical and non-technical audiences alike. You re comfortable assessing trade-offs challenging assumptions and making recommendations based on evidence. You re curious about how AI and emerging techniques can improve product measurement experimentation customer understanding and commercial decision-making. You re comfortable managing multiple workstreams and stakeholders with strong prioritisation and a proactive communication style. This role does not support Visa sponsorship and candidates must have the right to work in the UK. Why you should join SumUp Opportunity to work with a truly global multicultural team from our central London Bridge location wrapped in historic charm and modern flair. This involves an office-first setup Commitment to Diversity and Inclusion be part of a workplace that values and promotes diversity fostering an inclusive environment where everyone s perspectives are respected and embraced Enrolment onto our Virtual Stock Option programme you will own a stake in SumUp s future success Generous time off enjoy 28 days of paid leave plus bank holidays and special leaves A dedicated annual L&D budget for attending conferences and/or advancing your career through further education Health matters private health insurance including optical and dental Life made easier salary-sacrifice commuter benefits via Gogeta Financial security retirement scheme SumUp matches 7 when you contribute 5 Peace of mind life insurance from MetLife for 2 your salary Break4me 1-month sabbatical after 3 years of service Referral Bonus earn additional rewards by referring talented individuals to join the SumUp team About SumUp Be empowered to do more that matters. At SumUp we re on a mission to empower small businesses across the globe by providing simple and affordable tools that allow them to thrive. Today over 4 million businesses in 37 markets rely on SumUp as their financial partner to manage payments finance and customer relationships. Our commitment to small businesses is reflected in our diverse team of over 3 000 SumUppers from over 90 nationalities united by global collaboration and an innovative mindset. Our core values lay the foundation for who we are and what we stand for shaping our work culture and driving our success. We foster inclusivity and a continuous learning culture providing a safe space for personal and professional growth. Our differences make us unique and strong as we strive to create an environment where everyone belongs and feels supported no matter how they identify. SumUp is proud to be an Equal Employment Opportunity employer actively seeking and embracing diversity in our workforce. We don t make hiring or employment decisions based on race colour religion or religious belief ethnic or national origin nationality sex gender gender identity sexual orientation disability age or any other basis protected by applicable laws or prohibited by company policy. Our commitment extends beyond recruitment to creating a safe and respectful workplace where harassment of any form is strictly prohibited. Discover more about our culture and opportunities on our careers website and follow our journey on LinkedIn Instagram and TikTok. Job Application Tip We recognise that candidates feel they need to meet 100 of the job criteria in order to apply for a job. Please note that this is only a guide. If you don t tick every box it s ok too because it means you have room to learn and develop your career at SumUp. Find Jobs in United Kingdom on Arbeitnow,arbeitnow_api,2026-09-02,Machine Learning / AI,llm; machine learning; sql; statistics
5,Senior AI Engineer,Quantum,Our Company At Quantum we connect global brands with high-intent consumers. We turn intent into action and complexity into clarity. Our Mission is clear to help smarter faster buying decisions. Our vision to be the world s most used digital comparison service delivering value and simplicity to millions. We drive growth through data-driven affiliate marketing built for performance from day one. Every campaign is measurable optimised in real time and designed to scale. With in-house tech full-stack analytics and a compliance-first mindset we give our partners an edge. We drive confident decisions and growth in regulated and high-growth sectors. We ve helped ambitious brands grow faster smarter and globally. The Role We re looking for an experienced Senior AI Engineer to join our team. You ll be at the forefront of designing developing and deploying AI systems that power personalised advertising customer journey analytics audience segmentation and real-time bidding strategies. Working closely with BI data engineers and product teams you ll help build scalable AI solutions that deliver measurable business outcomes for some of the world s most recognised brands. Our infrastructure is powered by Google Cloud Platform GCP and we take pride in applying cutting-edge AI techniques to real-world marketing and advertising challenges. Key Responsibilities Architecture & Multi-Agent Design Design build and deploy scalable multi-agent systems and generative AI features for Mar Tech challenges including ad targeting user segmentation and content personalisation. Advanced Agentic Workflows Research and implement agentic design patterns such as planning reflection and tool usage using orchestration frameworks like LangGraph AutoGen or CrewAI. Cross-Functional Collaboration Work closely across the organisation to translate ambiguous business objectives into discrete agent personas tool definitions and behavioural boundaries. Performance & Guardrails Monitor and optimise multi-agent systems in production tracking agent-specific metrics including token efficiency execution loops and tool-calling accuracy to ensure system reliability. Security & Compliance Maintain high standards for data security model explainability and mitigation of agent-specific risks such as prompt injection and unintended tool execution in compliance with GDPR and CCPA. Mentorship & Best Practices Support and develop junior engineers and help champion best practices in agent-oriented programming prompt engineering model evaluation and scalable cloud infrastructure. About You Experienced in software engineering ideally in Ad Tech Mar Tech or similarly complex and high-scale environments Experience building multi-agent or single-agent architecture with integrations to APIs and/or MCPs A good understanding of supervised unsupervised and reinforcement learning methods alongside experience working with foundation models and prompt engineering Practical experience with GCP services or AWS equivalent such as Vertex AI BigQuery ML Dataflow AI Platform Pipelines and Dataproc Practical experience with CI/CD for AI/ML model versioning monitoring and AI Ops practices An understanding of marketing and advertising concepts such as customer lifetime value attribution modelling real-time bidding and audience targeting is a plus Familiarity with data pipeline orchestration tools such as Apache Airflow and Kubernetes is a plus You do your best work as part of a team and enjoy sharing knowledge just as much as gaining it Confident navigating ambiguity and a fast moving environment Excellent written and verbal communication skills Collaborative and grounded you value the perspectives of others and create space for everyone to contribute What You ll Get Private Health Care Bupa Hybrid Working 3 days in office Travel Insurance Competitive Base Salary Company Bonus Scheme Paid for AI Subscription Claude / ChatGPT / Gemini Market-Leading Training Programme Recognition & Reward Scheme Annual Company Conference Regular Happy Hours & Team Lunches Free Coffee Drinks & Snacks What s the next step Our hiring process ensures we re recruiting the right people for the role. We ensure that people are as suitable for us as we are for them. If you like the sound of what we re all about at Quantum and want to join a team where you can make an impact please apply or contact us at ----- Find Jobs in United Kingdom on Arbeitnow Technology,arbeitnow_api,2026-09-01,Machine Learning / AI,aws; generative ai; reinforcement learning
6,Senior Data Scientist - Business Operations,Deliveroo,About Deliveroo Our mission is to transform the way people shop and eat bringing the neighbourhood to your door by connecting consumers restaurants shops and riders. We are a technology-driven company at the forefront of one of the most rapidly expanding industries in the world a complex always-on three-sided marketplace that impacts millions of people every day. Deliveroo is now part of DoorDash bringing together teams with even greater reach scale and ambition. Depending on your role you may collaborate with teammates systems and leaders across DoorDash and Wolt. Together we re unlocking new possibilities as one global team. The Team BizOps is the team that keeps its finger on the pulse of business performance continuously rigorously and across multiple dimensions at once. We turn raw operational and financial data into actionable intelligence surfacing what is happening why it is happening and what to expect next for the operators executives and functional teams who run the business day to day. We are not a reporting function that produces outputs on request. We work continuously proactively watching delivering and questioning whether the signal is real acting as first responders to surprising deviations from expectation and using what we learn to drive faster better decision-making for the business at large. Our work spans the full stack of analytics from the warehouse models that make metrics trustworthy to the monitoring systems that catch problems early to the reports and dashboards that make performance visible to the deep-dive investigations that explain what the numbers mean and what we should do about it. We anchor our analysis to the right reference points how performance compares to plan to prior periods and to what we d expect and we bring causal rigour when the business needs to know whether an action actually worked. The culture within the team is informal fast-paced and entrepreneurial. Given the growth of the business and the level of senior stakeholder exposure progression in the team can be fast. The Role Deliveroo is hiring a Senior Data Scientist to join BizOps based in our London HQ hybrid minimum three days per week in the office . This role is largely project-based starting from a strategic or performance question you ll combine data business context and structured problem-solving to provide the insights that drive decision-making at a global level with senior stakeholders. You will own delivery end-to-end from the messy ambiguous question to a rigorous trustworthy and actionable answer. You ll be equally comfortable building the systems that make performance visible and going deep on the investigations that explain it. One week you might diagnose why a key market has moved away from plan the next identify the drivers behind a change in customer or operational performance the next build monitoring that helps teams spot and understand emerging issues earlier. Success in this role requires building effective working relationships across Deliveroo particularly with international markets as well as the Data Science Operations Commercial and Finance teams. What You ll Be Doing Answer the questions that matter continuously. Maintain a rigorous view on business performance Are we on track against our goals What s changed How does this compare with what we expected What should we expect next Then go further Why is it happening what matters most and what should we do about it Own delivery end-to-end. Independently identify define and deliver impactful work aligned with business goals operating with minimal guidance to ship fast high-quality solutions. Navigate ambiguity. Deconstruct broad ambiguous problem spaces into structured analytical roadmaps and understand how your work intersects with adjacent systems and teams. Build for scale not one-offs. Build the pipelines models dashboards monitoring and investigative tooling that make performance visible and reliable. Automate wherever possible redoing analyses by hand is slow and error-prone. Measure impact with discipline. Design measurement strategies from simple A/B tests to quasi-experimental designs synthetic control difference-in-differences event studies when trials aren t feasible always with conservative assumption-explicit language. Be a first responder. Surface deviations before they become escalations and be just as willing to give the confident this is noise no action needed as the alarm. Communicate to influence. Translate complex findings into clear simple actionable recommendations for both technical and non-technical audiences that shape roadmaps and decisions. Raise the bar. Contribute to the broader Analytics community improve shared approaches and best practices and help build data literacy across the business. What You ll Need to Thrive Our ideal candidate brings strong expertise in some of these areas and the curiosity to grow in others Experience in an analytical or data science role such as data analytics data science forecasting planning strategy analytics or a similar discipline. Experience in logistics e-commerce marketplaces or another fast-moving customer-focused business is useful but not essential. Proficiency with SQL and a scripting language such as Python or R alongside experience with BI or visualisation tooling such as Looker Tableau or similar. Comfortable using modern AI-assisted tools to work efficiently while maintaining high standards of accuracy and reproducibility. A pragmatic approach to problem-solving you can balance analytical rigour with speed adapt your approach to the importance of the decision and focus effort where it will have the greatest impact. Effective problem-solving you can take an ambiguous question identify the underlying problem or decision develop hypotheses and use data and business context to reach a clear point of view. Experience with experimentation and/or causal inference is a strong plus the ability to unpick insights and steer strategic decisions. Excellent communication skills in person in writing and in code with the ability to translate business needs into analytical problems and complex findings into simple recommendations. Driven hard-working and agile. BizOps sits at the centre of a fast-growing business we move quickly to scale at pace. London-based with a minimum of three days per week in the office. Why Join Us At Deliveroo you ll do work that matters solving real-world problems in a three-sided marketplace that s constantly evolving. Solve meaningful problems at real scale work on a complex always-on marketplace that impacts millions every day. See your impact fast ship test and improve ideas quickly in a low-hierarchy high-ownership environment. Grow through challenge and ownership take on big ambiguous problems and accelerate your career with strong support. A culture built for builders high standards collaboration flexible working and continuous learning. Share in the success you help create competitive salary and equity so you re rewarded for the impact you make. We aim to create a fair process that lets your skills shine our interview typically includes 3 to 4 stages. Workplace & Benefits At Deliveroo we know that people are the heart of the business and we prioritise their welfare. Benefits differ by country but we offer many benefits across areas including healthcare well-being parental leave pensions and generous annual leave allowances including time off to support a charitable cause of your choice. Benefits are country-specific please ask your recruiter for more information. Diversity Equity and Inclusion At Deliveroo we believe a great workplace is one that represents the world we live in and how beautifully diverse it can be. That means we have no judgement when it comes to any one of the things that make you who you are your gender race sexuality religion or a secret aversion to coriander. All you need is a passion for most food and a desire to be part of one of the fastest-growing businesses in a rapidly growing industry. We are committed to diversity equity and inclusion in all aspects of our hiring process. If you have a disability or long-term health condition or require any reasonable adjustments to apply or fairly participate in the interview process please let us know we ll make every effort to ensure you have an equitable opportunity to succeed. Find more English Speaking Jobs in United Kingdom on Arbeitnow All Cost Centers,arbeitnow_api,2026-09-01,Machine Learning / AI,python; r; sql
