job_id,job_title,company,description_text,source,date_collected,track,skills
1,Fullstack Software Engineer - Core,dataiku,Dataiku is the Platform for AI Success the enterprise orchestration layer for building deploying and governing AI. In a single environment teams design and operate analytics machine learning and AI agents with the transparency collaboration and control enterprises require. Sitting above data platforms cloud infrastructure and AI services Dataiku connects the full enterprise AI stack - empowering organizations to run AI across multi-vendor environments with centralized governance. The world s leading companies rely on Dataiku to operationalize AI and run it as a true business performance engine delivering measurable value. For more visit the Dataiku blog LinkedIn X and YouTube . Why Engineering at Dataiku Dataiku s on-premise cloud or SaaS-deployed platform connects many data science technologies and our technology stack reflects our commitment to quality and innovation. We integrate the best of data and AI tech selecting tools that truly enhance our product. From the latest LLMs to our dedication to open source communities you ll work with a dynamic range of technologies and contribute to the collective knowledge of global tech innovators. You can find out even more about working in Engineering at Dataiku by taking a look here . Here are some useful links so you preview what we do at Dataiku Dataiku s Key Capabilities Dataiku s Github you can also take a look at the Gallery a public instance showcasing some example projects note editing is very limited and will be regularly reset . Our product is called Dataiku DSS which stands for Dataiku Data Science Studio. If you d like to know more about it you can watch the demo here or try the free version here . How you ll make an impact As a Fullstack Engineer you ll contribute to building Dataiku DSS core features by joining one of the following themes Data Preparation Develop tools for data integration transformation and cataloging as well as Jupyter notebooks SQL workbenches and APIs. Add new capabilities for data integration transformation and visualization using LLMs Optimize workflows for large-scale datasets and improve database support Strengthen developer tools like Jupyter notebooks and SQL workbenches Tech stack Java Python AngularJS Angular AI & Machine Learning Collaborate on next-gen AI features from statistics and time series forecasting to LLM inference. Build next-generation features like cross-provider LLM APIs or integration with the latest Machine Learning models Collaborate with research teams on innovative machine learning experiments Tech stack Python scikit-learn TensorFlow PyTorch Java Angular AngularJS Data Consumption build the experience that makes data accessible and actionable for everyone. Enhance our collaborative Workspaces to organize and explore charts dashboards datasets and more Create innovative interfaces that answer business questions and surface relevant insights using LLMs Tech stack Angular AngularJS Java Python Data Visualization elevate our data visualization capabilities with high-performance charting tools and dashboards. Develop new chart types and optimize visualization performance Enhance dash boarding capabilities to deliver fast and flexible experiences Tech stack React AngularJS Angular D3.js ECharts Node.js Java Spring MLOps Develop back-end capabilities for automating and monitoring ML model lifecycles while supporting cross-functional collaboration. Build tools to automate retraining monitoring and deployment of ML models Enhance collaboration features for ML stakeholders Tech stack Python Java Angular Angular.JS Kubernetes Docker Platform Focus on scaling and securing the platform while improving cloud integrations and supporting a wide array of data sources and engines. Optimize processing engines for scalability and latency Expand capabilities to support new databases and cloud platforms Tech stack Java Python Angular Kubernetes Spark AWS Azure GCP AI Governance Build features for AI compliance connecting disparate systems and simplifying governance processes. Develop customizable platforms for managing AI compliance and governance Simplify policy enforcement and integration across disparate systems Tech stack Java Angular PostgreSQL What you need to be successful We re stack agnostic so all you need is a significant experience in software engineering building a real product We re hiring at all levels junior mid senior A passion for combining backend performance with exceptional frontend user experience. You want to work in a fast-paced high-growth environment that values diversity of talent excellence of product and exciting engineering challenges at scale What does the hiring process look like Initial call with a member of our Technical Recruiting team 45min Video call with an Engineering Team Lead 1h30 Technical Assessment to show your skills Home Test or Live Coding Final Interviews with our VPs of Engineering 2h #LI-Remote What are you waiting for At Dataiku you ll be part of a journey to shape the ever-evolving world of AI. We re not just building a product we re crafting the future of AI. If you re ready to make a significant impact in a company that values innovation collaboration and your personal growth we can t wait to welcome you to Dataiku And if you d like to learn even more about working here you can visit our Dataiku LinkedIn page . Our practices are rooted in the idea that everyone should be treated with dignity decency and fairness. Dataiku also believes that a diverse identity is a source of strength and allows us to optimize across the many dimensions that are needed for our success. Therefore we are proud to be an equal opportunity employer. All employment practices are based on business needs without regard to race ethnicity gender identity or expression sexual orientation religion age neurodiversity disability status citizenship veteran status or any other aspect which makes an individual unique or protected by laws and regulations in the locations where we operate. This applies to all policies and procedures related to recruitment and hiring compensation benefits performance promotion and termination and all other conditions and terms of employment. If you need assistance or an accommodation please contact us at Protect yourself from fraudulent recruitment activity Dataiku will never ask you for payment of any type during the interview or hiring process. Other than our video-conference application Zoom we will also never ask you to make purchases or download third-party applications during the process. If you experience something out of the ordinary or suspect fraudulent activity please review our page on identifying and reporting fraudulent activity here. Find more English Speaking Jobs in United Kingdom on Arbeitnow Engineering,arbeitnow_api,2026-09-02,Frontend Development,angular; github; react
2,Frontend Software Engineer,toogoodtogo,At Too Good To Go we have an ambitious goal to inspire and empower everyone to fight food waste together. 40 of all food produced in the world is wasted. And that has a huge impact on the health of our planet with 10 of greenhouse gas emissions coming from food waste. We re more than an app we are a certified B Corporation with a mission to empower everyone to take action against food waste so alongside our marketplace app we create educational tools explore new business solutions - such as our Retail Technologies offering and influence legislation to help reduce food waste. We re growing fast Our community of 127 million registered users and 253 000 active partners across 20 countries have together already prevented 489+ million meals from going to waste - avoiding over 1.322.000 tonnes of CO2e The Role We are building a brand-new engineering hub in London and we are looking for foundational Frontend Software Engineers to help us kick it off. This is a unique opportunity you will be joining a completely new team building a new hub from scratch and working remotely from the rest of our global Tech organisation. As an integral part of this new product team you will help define build and deliver our product features. You will work towards specific outcomes with the freedom and responsibility to figure out the best way to achieve them together with your team. Your mission will be to help refine design implement deliver and maintain an international top-class product ensuring quality maintainability and sustainability. The Tech Stack We have created a single-page React application localized into multiple languages with TypeScript RTK Query MUI and react-router. Developers typically run the SPA locally with Vite or Webpack DevServer including hot module replacement against endpoints on test servers. Responsibilities Build and evolve our frontend applications and user-facing infrastructure to stay ahead of our growth curve. Develop exciting new features for our customers partner businesses and internal systems to improve usability and operational efficiency. Implement responsive reliable and intuitive visual elements and interactive workflows across web applications. Actively participate in your team s agile development processes with a continuous improvement mindset. Strive to deliver international top-class products with maximum quality performance maintainability and accessibility. Take on additional tasks outside your current boundaries with help from your team to continue to grow and expand your skills. The Ideal Candidate Strong experience in modern frontend web development. Proven production experience with JavaScript TypeScript DOM manipulation HTML and CSS/MUI. Deep understanding of React.js its core principles state props context hooks and modern architectural patterns. Experience with state management solutions e.g. Redux / RTK Query React Context API and client-side routing. Experience with common frontend tooling testing and CI frameworks e.g. Vite/Webpack NPM ESLint Jest Playwright . Proven success in building scalable responsive visual interfaces with strong cross-browser compatibility and user experience design sensibilities. Familiarity with RESTful APIs modern integration patterns and code versioning tools like Git. Enjoys actively participating in a cross-functional product team and takes pride in writing clean high-quality code. Our Values We win together Food waste is a big beast to fight. We believe in a #oneteam. We raise the bar We always push for more. We work smart smash barriers and elevate one another. We keep it simple Our ambitions are bold but our solutions are simple. We build a legacy We re proud of the change we re driving. We care We always look out for each other. Caring is also about the way we do business. We do the right thing. What We Have To Offer An opportunity to work in a global social-impact company and certified B Corporation where you can see a real and tangible impact in your role. To be an integral member of our defined product teams. We are eager for you to make an impact and contribute to the product scope and development Your insights are valuable and we are here to listen. Work-life balance is important to us Focus on the job to be done not the hours spent there is no need for overtime. On-call duty is not part of the job but can be additionally agreed upon should you and your manager both wish it. We believe that happy environments create happy employees. We trust in our employees and encourage an autonomous environment that provides several opportunities for employees to contribute develop and take ownership of their work in a way that works for them. To be part of an international company with over 1 300+ colleagues across 20 countries that are on the same important mission. An informal environment working alongside 190+ passionate people within Tech & Product. We celebrate our differences and our successes and have a strong values-driven team culture. We work in a hybrid set-up and value in office work weekly 2 days in office . How to apply We take recruitment very seriously so please carefully read everything we have written above. Please also check our website and international media in order to get a good overview of Too Good To Go. Please submit your CV and Cover letter in English. Please note that we only accept applications coming through our platform. No CV or Cover Letter will be accepted by email or LinkedIn direct messaging. #LI-LA1 A Movement for Everyone We want to inspire and empower everyone to fight food waste together. With that mission it s only natural that we want to build a diverse and inclusive team of highly capable individuals who are passionate about doing things in a better way. We strongly believe we all excel and are more creative when we re allowed to be ourselves and we re committed to a culture where all of us belong. We are an equal opportunity employer and all employment is decided on the basis of qualifications merit and business need. If you need reasonable accommodation at any point in the application or interview process please let us know. Find more English Speaking Jobs in United Kingdom on Arbeitnow Tech,arbeitnow_api,2026-09-02,Frontend Development,accessibility; css; git; html; javascript; jest; npm; playwright; react; redux; typescript; vite; webpack
3,Senior Frontend Engineer,Octopus Energy Group,We re making energy fair clean and simple for all using technology. Octopus Energy started with a bold idea to build Britain s first truly digital energy supplier. By combining world-class tech with brilliant humans who care deeply about customers and driving the renewable energy transition we made it happen and in 2025 we became Britain s largest energy supplier. Octopus Energy Group is a global energy transition collective. 10 businesses working across 4 continents to tackle energy transformation at nearly every front. And we constantly push to make energy better. Tirelessly campaigning for fair protections for customers. And building innovative technologies that forge a path to a green energy system. We re made up of 10 000+ authentic committed people working around the world on stuff you d never expect. We re united by a shared goal to drive the global green energy revolution. Read our Spotlight series to meet some of the team. We are looking for a Senior Frontend Engineer to join our Flexibility team. The Flexibility team was established in early 2026 and has been growing throughout the year. The team is focused on greenfield opportunities at the cutting edge of Octopus flexibility strategy and aims to enable rapid response to global flex opportunities. They are building the next generation of products and tools to make energy more flexible. These include our flagship Intelligent Octopus product automating demand shift for 300 000 customers with electric cars home batteries or smart heating devices saving 2 million customers money through Saving Sessions and Free Electricity Sessions and managing 568MW of large grid-scale batteries to balance the system. The team develops products that are used by millions of customers helping boost renewables use and decarbonise energy systems worldwide. We embrace flat hierarchies and an open agile culture that fosters innovation flexibility and creativity. We don t hang our personalities up with our coats and nor should you. At Octopus we hire great people who get stuff done all whilst being themselves. If this sounds exciting we d love to chat. What you ll do Acting as the flexibility team s first frontend engineer establish the team s frontend capability lead the team s frontend technical direction and represent the team to the cross-team community of frontend engineers Build and own a diverse range of customer-facing user journeys enabling customers to onboard control and analyse their low carbon tech Build and own internal-facing interfaces for stakeholder-collaborators and experimental prototypes Interface with established mobile teams by providing WebViews for emerging mobile customer journeys Collaborate with our internal design team to integrate our designs into the wider Octopus design system Coral Carry out product discovery by working closely with our Product Manager and stakeholders from across the organisation Build highly reusable interfaces that enable rapid response to new opportunities What you ll have 5+ years of experience with our stack listed below Experience taking problems rather than strict guidelines and developing strong solutions Confidence owning the development cycle request requirements gathering technical proposal technical execution deployment and monitoring. Confidence tackling large-scale tasks individually An empathetic approach to delegating work and collaborating with others The ability to develop websites that meet strong accessibility guidelines Experience building scalable performant sites that handle high levels of traffic well Desirable energy domain knowledge Our stack React required TypeScript required Next.js on Vercel desirable GraphQL w/ Tanstack Query desirable React Testing Library & vitest and/or msw desirable We have a preference for candidates who can work hybrid from our London office but we re open to fully remote candidates you do need to be based in the UK . Why else you ll love it here Wondering what the salary for this role is Just ask us On a call with one of our recruiters it s something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don t advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn t apply to Octopus - what s more important to us is finding the right octofit Octopus Energy Group is a unique culture . An organisation where people learn decide and build quicker. Where people work with autonomy alongside a wide range of amazing co-owners on projects that break new ground. We want your hard work to be rewarded with perks you actually care about We were recently named the UK s top company to work for and we ranked in the top ten in the Sunday Times Best Places to Work 2024 . Our Group CEO Greg has recorded a podcast about our culture and how we empower our people. We ve also been placed in the top 10 companies for senior leadership Visit our UK perks hub - Octopus Employee Benefits If this sounds like you then we d love to hear from you tell us what you care about why Octopus feels right and most importantly bring us the real you Applying for jobs can be a bit scary so have a nose through some of our tips first P.S. Our process usually takes up to 4 weeks but we ll always do our best to flex around what works for you. Along the way you ll chat with our recruitment team and your Recruiter will help you throughout different stages. Got any burning questions before then Drop us a message at ----- and we d love to help Are you ready for a career with us We want to ensure you have all the tools and environment you need to unleash your potential. Need any specific accommodations Whether you require specific accommodations or have a unique preference let us know and we ll do what we can to customise your interview process for comfort and maximum magic Studies have shown that some groups of people like women are less likely to apply to a role unless they meet 100 of the job requirements. Whoever you are if you like one of our jobs we encourage you to apply as you might just be the candidate we hire. Across Octopus we re looking for genuinely decent people who are honest and empathetic. Our people are our strongest asset and the unique skills and perspectives people bring to the team are the driving force of our success. As an equal opportunity employer we do not discriminate on the basis of any protected attribute. Our commitment is to provide equal opportunities an inclusive work environment and fairness for everyone. Find more English Speaking Jobs in United Kingdom on Arbeitnow Frontend,arbeitnow_api,2026-09-02,Frontend Development,accessibility; graphql; less; next.js; react; typescript
4,Senior Full Stack Engineer,Quantum,Our Company At Quantum we connect global brands with high-intent consumers. We turn intent into action and complexity into clarity. Our Mission is clear to help smarter faster buying decisions. Our vision to be the world s most used digital comparison service delivering value and simplicity to millions. We drive growth through data-driven affiliate marketing built for performance from day one. Every campaign is measurable optimised in real time and designed to scale. With in-house tech full-stack analytics and a compliance-first mindset we give our partners an edge. We drive confident decisions and growth in regulated and high-growth sectors. We ve helped ambitious brands grow faster smarter and globally. The Role Our Technology team is growing and we d love you to grow with us. We re looking for a Senior Full Stack Engineer to help shape and scale our technology platform as we pursue our ambitious vision. In this role you ll take a leading hand in both frontend and backend systems delivering high quality development and thoughtful technical solutions across the product lifecycle. While your primary focus will be coding and architecture you ll also support and guide other developers helping to foster a culture of quality curiosity and continuous improvement. You re a skilled individual contributor and a collaborative technical champion someone who enjoys working closely with others to build scalable efficient and well crafted applications using modern frameworks and tools. Key Responsibilities Lead by example as a hands on developer contributing to both front-end and back-end codebases Shape architecture and system design for web applications with a focus on scalability security and performance Mentor and support other engineers championing code quality through thoughtful reviews and shared best practices Design and implement responsive user friendly web interfaces using modern JavaScript frameworks Next.js React Partner with UX/UI designers to bring designs to life as functional intuitive experiences About You Strong expertise in JavaScript frameworks such as React Vue.js or Angular with solid proficiency in HTML CSS and responsive design Solid experience with Node.js Express.js and building RESTful APIs or microservices Comfortable working with both SQL PostgreSQL MySQL and NoSQL MongoDB databases Experience integrating automated tests into CI/CD pipelines e.g. Jenkins CircleCI GitLab CI and familiarity with containerisation tools like Docker Knowledge of CMS would be a bonus You do your best work as part of a team and enjoy sharing knowledge as much as gaining it You re comfortable navigating ambiguity and a fast-moving environment Excellent written and verbal English skills Collaborative and grounded you value others perspectives and create space for them What You ll Get Private Health Care Bupa Hybrid Working 3 days in office Travel Insurance Competitive Base Salary Company Bonus Scheme Paid for AI Subscription Claude / ChatGPT / Gemini Market-Leading Training Programme Recognition & Reward Scheme Annual Company Conference Regular Happy Hours & Team Lunches Free Coffee Drinks & Snacks What s the next step Our hiring process ensures we re recruiting the right people for the role. We ensure that people are as suitable for us as we are for them. If you like the sound of what we re all about at Quantum and want to join a team where you can make an impact please apply or contact us at ----- Find Jobs in United Kingdom on Arbeitnow Technology,arbeitnow_api,2026-09-01,Frontend Development,angular; css; html; javascript; next.js; react; responsive design; vue
