skill,count
sql,3
angular,2
aws,2
azure,2
docker,2
node.js,2
postgresql,2
python,2
react,2
ci/cd,1
css,1
express,1
github,1
html,1
java,1
javascript,1
kubernetes,1
microservices,1
mongodb,1
mysql,1
next.js,1
responsive design,1
testing,1
vue,1
