job_id,skill,domain
1,git,Full-Stack Development
1,python,Full-Stack Development
1,testing,Full-Stack Development
2,azure,Full-Stack Development
2,docker,Full-Stack Development
2,python,Full-Stack Development
3,aws,Full-Stack Development
3,azure,Full-Stack Development
3,ci/cd,Full-Stack Development
3,javascript,Full-Stack Development
3,kubernetes,Full-Stack Development
3,python,Full-Stack Development
4,aws,Full-Stack Development
4,azure,Full-Stack Development
4,docker,Full-Stack Development
4,kubernetes,Full-Stack Development
5,aws,Full-Stack Development
5,azure,Full-Stack Development
5,docker,Full-Stack Development
5,kubernetes,Full-Stack Development
6,postgresql,Full-Stack Development
6,redis,Full-Stack Development
6,spring boot,Full-Stack Development
7,ci/cd,Full-Stack Development
7,docker,Full-Stack Development
7,git,Full-Stack Development
7,python,Full-Stack Development
7,sql,Full-Stack Development
8,angular,Full-Stack Development
8,aws,Full-Stack Development
8,azure,Full-Stack Development
8,docker,Full-Stack Development
8,github,Full-Stack Development
8,java,Full-Stack Development
8,kubernetes,Full-Stack Development
8,node.js,Full-Stack Development
8,postgresql,Full-Stack Development
8,python,Full-Stack Development
8,react,Full-Stack Development
8,sql,Full-Stack Development
9,aws,Full-Stack Development
9,azure,Full-Stack Development
9,ci/cd,Full-Stack Development
9,python,Full-Stack Development
10,aws,Full-Stack Development
10,django,Full-Stack Development
10,docker,Full-Stack Development
10,kubernetes,Full-Stack Development
10,python,Full-Stack Development
10,sql,Full-Stack Development
11,css,Full-Stack Development
11,git,Full-Stack Development
11,html,Full-Stack Development
11,javascript,Full-Stack Development
11,react,Full-Stack Development
11,testing,Full-Stack Development
11,typescript,Full-Stack Development
12,aws,Full-Stack Development
12,azure,Full-Stack Development
12,github,Full-Stack Development
12,python,Full-Stack Development
13,azure,Full-Stack Development
13,django,Full-Stack Development
13,python,Full-Stack Development
13,react,Full-Stack Development
13,typescript,Full-Stack Development
14,java,Full-Stack Development
14,react,Full-Stack Development
14,testing,Full-Stack Development
15,graphql,Full-Stack Development
15,next.js,Full-Stack Development
15,react,Full-Stack Development
15,testing,Full-Stack Development
15,typescript,Full-Stack Development
16,aws,Full-Stack Development
16,azure,Full-Stack Development
16,python,Full-Stack Development
16,sql,Full-Stack Development
16,testing,Full-Stack Development
17,angular,Full-Stack Development
17,ci/cd,Full-Stack Development
17,css,Full-Stack Development
17,docker,Full-Stack Development
17,express,Full-Stack Development
17,html,Full-Stack Development
17,javascript,Full-Stack Development
17,microservices,Full-Stack Development
17,mongodb,Full-Stack Development
17,mysql,Full-Stack Development
17,next.js,Full-Stack Development
17,node.js,Full-Stack Development
17,postgresql,Full-Stack Development
17,react,Full-Stack Development
17,responsive design,Full-Stack Development
17,sql,Full-Stack Development
17,vue,Full-Stack Development
18,aws,Full-Stack Development
18,ci/cd,Full-Stack Development
18,kubernetes,Full-Stack Development
19,ci/cd,Full-Stack Development
19,github,Full-Stack Development
19,postgresql,Full-Stack Development
19,python,Full-Stack Development
19,sql,Full-Stack Development
