job_id,skill,domain
1,agile,Mobile Development
1,git,Mobile Development
1,javascript,Mobile Development
1,typescript,Mobile Development
2,agile,Mobile Development
2,android,Mobile Development
2,flutter,Mobile Development
2,ios,Mobile Development
2,java,Mobile Development
2,kotlin,Mobile Development
2,react native,Mobile Development
2,swift,Mobile Development
3,agile,Mobile Development
3,graphql,Mobile Development
3,typescript,Mobile Development
