skill,count
python,35
machine learning,30
llm,24
sql,14
pytorch,11
docker,10
ci/cd,8
r,7
tensorflow,7
kubernetes,7
model evaluation,5
scikit-learn,5
langchain,5
nlp,5
computer vision,5
git,5
classification,4
spark,4
java,4
mlflow,4
deep learning,4
feature engineering,3
gpt,3
etl,3
pandas,2
regression,2
hugging face,1
gcp vertex ai,1
numpy,1
opencv,1
clustering,1
transformers,1
aws sagemaker,1
scala,1
