skill,count
react,63
typescript,61
javascript,30
angular,26
next.js,11
css,10
graphql,7
html,6
vite,5
accessibility,5
playwright,4
vue.js,4
figma,3
redux,2
jest,2
vitest,2
responsive design,2
cypress,2
seo,2
tailwind css,2
svelte,2
webpack,1
dom manipulation,1
less,1
material ui,1
mobx,1
pinia,1
rest api,1
ssg,1
storybook,1
bootstrap,1
zustand,1
