skill,count
ci/cd,31
kubernetes,30
docker,29
aws,29
python,27
postgresql,25
java,24
node.js,17
go,16
kafka,15
microservices,14
spring boot,14
azure,12
terraform,11
gcp,10
git,10
fastapi,9
rust,8
django,8
mysql,8
grpc,7
redis,6
graphql,6
linux,6
ruby,5
rabbitmq,5
mongodb,4
hibernate,3
php,3
.net,3
flask,2
apache,2
express.js,1
lambda,1
websockets,1
sqlalchemy,1
typeorm,1
rest api,1
nginx,1
