skill,count
python,9
sql,6
docker,5
postgresql,5
kubernetes,4
django,3
git,3
github,3
go,3
javascript,3
kafka,3
node.js,3
spring,3
express,2
fastapi,2
java,2
microservices,2
mongodb,2
redis,2
spring boot,2
typescript,2
.net,1
mysql,1
rest api,1
