skill,count
react,26
typescript,22
javascript,15
ci/cd,15
node.js,14
docker,12
postgresql,11
git,10
aws,9
kubernetes,8
next.js,8
microservices,6
mongodb,5
linux,5
azure,4
gcp,4
css,4
redis,4
vue.js,3
html,3
graphql,2
express.js,1
typeorm,1
tailwind css,1
cypress,1
playwright,1
rest api,1
nginx,1
